cost/projected_total_usd,_step,cost/per_hour,cost/spent_usd,_runtime,cost/budget_pct_used,cost/hours_elapsed,_timestamp,train/global_step,train/entropy,train/rewards/accuracies,train/mean_token_accuracy,train/logps/rejected,train/num_tokens,train/logits/rejected,train/loss,train/grad_norm,train/rewards/margins,train/learning_rate,train/epoch,train/logps/chosen,train/rewards/chosen,train/logits/chosen,train/rewards/rejected
2.1929357939958574,1,3,0.009024427135785421,18.714263683,0.10964678969979286,0.00300814237859514,1778107319.387826,0,,,,,,,,,,,,,,,
1.8810449811816214,2,3,0.015481851696968078,26.555207285,0.09405224905908108,0.0051606172323226925,1778107327.1367083,0,,,,,,,,,,,,,,,
1.7832504522800443,3,3,0.022015437682469684,34.485276412,0.08916252261400222,0.007338479227489895,1778107334.9770086,0,,,,,,,,,,,,,,,
1.7389203809201716,4,3,0.028624203801155088,42.120405138,0.08694601904600859,0.009541401267051696,1778107342.9075372,0,,,,,,,,,,,,,,,
1.7003622146844866,5,3,0.0349868768453598,42.12107013,0.08501811073422433,0.0116622922817866,1778107350.5433786,5,1.3711567044258117,0.35,0.2568183373659849,-262.21617965698243,33734.0,0.6430649236569222,0.8004306793212891,2080.90869140625,-0.08403716910397634,8e-08,0.020629190304280558,-281.1283191680908,-0.483598258308848,1.0651947265692745,-0.3995610882760957
1.6741145968437194,6,3,0.04133616288503011,57.426045896,0.08370572984218598,0.013778720961676703,1778107358.1618822,5,,,,,,,,,,,,,,,
1.657310696840286,7,3,0.04774146040280659,65.134755194,0.0828655348420143,0.015913820134268866,1778107365.8482373,5,,,,,,,,,,,,,,,
1.6452782756835223,8,3,0.054165539940198265,72.955933152,0.08226391378417611,0.01805517998006609,1778107373.5571296,5,,,,,,,,,,,,,,,
1.6384456479549405,9,3,0.06068317214647928,80.609250807,0.08192228239774703,0.020227724048826428,1778107381.378291,5,,,,,,,,,,,,,,,
1.629582127869129,10,3,0.06706099291642506,80.609819554,0.08147910639345644,0.022353664305475023,1778107389.0321789,10,1.3750154122710228,0.475,0.27126499023288486,-260.76414070129397,66956.0,0.43044668021850496,0.9191501617431641,372.88671875,-0.013576652482151985,1.8e-07,0.041258380608561115,-297.73632621765137,-0.9352545935660601,1.1219348556457505,-0.9216779408976435
1.6238297789747063,11,3,0.07350669781366984,96.27557279,0.08119148894873532,0.024502232604556612,1778107396.7665312,10,,,,,,,,,,,,,,,
1.6223533849418164,12,3,0.08011621654033661,104.213510653,0.08111766924709082,0.026705405513445538,1778107404.6979465,10,,,,,,,,,,,,,,,
1.6212026303089582,13,3,0.08673100491364796,112.032567794,0.0810601315154479,0.02891033497121599,1778107412.635691,10,,,,,,,,,,,,,,,
1.6185032066702842,14,3,0.09324709832668304,119.875371633,0.08092516033351421,0.03108236610889435,1778107420.455003,10,,,,,,,,,,,,,,,
